age,sex,qx,lx,source
65,M,0.00831,100000,SOA_IAM_2012
66,M,0.00912,99169,SOA_IAM_2012
67,M,0.01005,98264,SOA_IAM_2012
68,M,0.01112,97276,SOA_IAM_2012
69,M,0.01233,96194,SOA_IAM_2012
70,M,0.01371,95009,SOA_IAM_2012
71,M,0.01528,93706,SOA_IAM_2012
72,M,0.01707,92274,SOA_IAM_2012
73,M,0.01911,90699,SOA_IAM_2012
74,M,0.02144,88966,SOA_IAM_2012
75,M,0.02410,87058,SOA_IAM_2012
76,M,0.02715,84960,SOA_IAM_2012
77,M,0.03065,82654,SOA_IAM_2012
78,M,0.03466,80120,SOA_IAM_2012
79,M,0.03926,77343,SOA_IAM_2012
80,M,0.04453,74306,SOA_IAM_2012
81,M,0.05057,70997,SOA_IAM_2012
82,M,0.05748,67406,SOA_IAM_2012
83,M,0.06536,63532,SOA_IAM_2012
84,M,0.07432,59379,SOA_IAM_2012
85,M,0.08446,54967,SOA_IAM_2012
86,M,0.09588,50324,SOA_IAM_2012
87,M,0.10866,45499,SOA_IAM_2012
88,M,0.12289,40555,SOA_IAM_2012
89,M,0.13862,35569,SOA_IAM_2012
90,M,0.15592,30640,SOA_IAM_2012
91,M,0.17481,25862,SOA_IAM_2012
92,M,0.19533,21341,SOA_IAM_2012
93,M,0.21747,17172,SOA_IAM_2012
94,M,0.24121,13438,SOA_IAM_2012
95,M,0.26646,10197,SOA_IAM_2012
96,M,0.29310,7480,SOA_IAM_2012
97,M,0.32093,5288,SOA_IAM_2012
98,M,0.34972,3590,SOA_IAM_2012
99,M,0.37918,2335,SOA_IAM_2012
100,M,0.40896,1450,SOA_IAM_2012
65,F,0.00541,100000,SOA_IAM_2012
66,F,0.00599,99459,SOA_IAM_2012
67,F,0.00665,98863,SOA_IAM_2012
68,F,0.00740,98206,SOA_IAM_2012
69,F,0.00825,97480,SOA_IAM_2012
70,F,0.00921,96676,SOA_IAM_2012
71,F,0.01030,95786,SOA_IAM_2012
72,F,0.01155,94800,SOA_IAM_2012
73,F,0.01298,93705,SOA_IAM_2012
74,F,0.01462,92489,SOA_IAM_2012
75,F,0.01651,91137,SOA_IAM_2012
76,F,0.01867,89633,SOA_IAM_2012
77,F,0.02115,87959,SOA_IAM_2012
78,F,0.02399,86098,SOA_IAM_2012
79,F,0.02723,84033,SOA_IAM_2012
80,F,0.03093,81745,SOA_IAM_2012
81,F,0.03515,79217,SOA_IAM_2012
82,F,0.03995,76432,SOA_IAM_2012
83,F,0.04540,73378,SOA_IAM_2012
84,F,0.05156,70047,SOA_IAM_2012
85,F,0.05852,66436,SOA_IAM_2012
86,F,0.06636,62548,SOA_IAM_2012
87,F,0.07515,58397,SOA_IAM_2012
88,F,0.08498,54009,SOA_IAM_2012
89,F,0.09593,49419,SOA_IAM_2012
90,F,0.10809,44679,SOA_IAM_2012
91,F,0.12152,39850,SOA_IAM_2012
92,F,0.13628,35008,SOA_IAM_2012
93,F,0.15243,30237,SOA_IAM_2012
94,F,0.17000,25627,SOA_IAM_2012
95,F,0.18901,21271,SOA_IAM_2012
96,F,0.20945,17251,SOA_IAM_2012
97,F,0.23128,13638,SOA_IAM_2012
98,F,0.25444,10484,SOA_IAM_2012
99,F,0.27884,7817,SOA_IAM_2012
100,F,0.30435,5638,SOA_IAM_2012
